NAME_1,NAME_2,lon,lat,F.dap,F,FDATE,FMCD,FACD,FDEP,FAMN,FAMP,FAMK,FAMC,FAMO,FOCD,FERNAME,q25,q50,q75
Kisumu,Nyakach,34.925,-0.375,0,1,NA,FE006,AP004,5,41,33,0,-99,-99,-99,2nd fert. 1st application,67,78,79
Kisumu,Nyakach,34.925,-0.375,42,2,NA,FE006,AP004,5,41,33,0,-99,-99,-99,2nd fert. 2nd application,67,78,79
Kisumu,Nyakach,34.925,-0.375,0,1,NA,FE006,AP004,5,31,25,0,-99,-99,-99,3rd fert. 1st application,67,78,79
Kisumu,Nyakach,34.925,-0.375,42,2,NA,FE006,AP004,5,51,41,0,-99,-99,-99,3rd fert. 2nd application,67,78,79
Kisumu,Nyakach,34.975,-0.375,0,1,NA,FE006,AP004,5,70,34,0,-99,-99,-99,1st fert. 1st application,73,74,80
Kisumu,Nyakach,34.975,-0.375,42,2,NA,FE006,AP004,5,42,21,0,-99,-99,-99,1st fert. 2nd application,73,74,80
Kisumu,Nyakach,34.975,-0.375,0,1,NA,FE006,AP004,5,56,28,0,-99,-99,-99,2nd fert. 1st application,73,74,80
Kisumu,Nyakach,34.975,-0.375,42,2,NA,FE006,AP004,5,56,28,0,-99,-99,-99,2nd fert. 2nd application,73,74,80
Kisumu,Nyakach,34.975,-0.375,0,1,NA,FE006,AP004,5,42,21,0,-99,-99,-99,3rd fert. 1st application,73,74,80
Kisumu,Nyakach,34.975,-0.375,42,2,NA,FE006,AP004,5,70,34,0,-99,-99,-99,3rd fert. 2nd application,73,74,80
Kisumu,Seme,34.475,-0.225,0,1,NA,FE006,AP004,5,53,64,0,-99,-99,-99,1st fert. 1st application,71,73,74
Kisumu,Seme,34.475,-0.225,42,2,NA,FE006,AP004,5,32,38,0,-99,-99,-99,1st fert. 2nd application,71,73,74
Kisumu,Seme,34.475,-0.225,0,1,NA,FE006,AP004,5,42,51,0,-99,-99,-99,2nd fert. 1st application,71,73,74
Kisumu,Seme,34.475,-0.225,42,2,NA,FE006,AP004,5,42,51,0,-99,-99,-99,2nd fert. 2nd application,71,73,74
Kisumu,Seme,34.475,-0.225,0,1,NA,FE006,AP004,5,32,38,0,-99,-99,-99,3rd fert. 1st application,71,73,74
